recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, ms_surv_8_trt, ms_surv_12_trt, ms_surv_8_ctrl, ms_surv_12_ctrl, cutoff_used
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.3, 60.875, 0.8, 0.0014222455043888, 0.000702329011657062, 683.824240207481, 467.009277580192, 526.94193999779, 365.25, 0.773413410875463, 0.773602515760721, 0.687109153341108, 0.577861819504662, 0.629960524947437, 0.5, 6475.91456155403
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 60.875, 0.8, 0.00155132091756149, 0.000734726435059255, 631.707091825763, 433.217462431682, 526.937625267977, 365.25, 0.835644855073146, 0.83573474342015, 0.671101751006173, 0.555599352018458, 0.629960524947437, 0.5, 5937.09545698247
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 60.875, 0.8, 0.00155132091756149, 0.000734726435059255, 631.707091825763, 433.217462431682, 526.937625267977, 365.25, 0.835644855073146, 0.83573474342015, 0.671101751006173, 0.555599352018458, 0.629960524947437, 0.5, 5937.09545698247
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.3, 60.875, 0.8, 0.00161087688835329, 0.000749054409981134, 610.490748158097, 419.45153346625, 526.934143344535, 365.25, 0.864169020695834, 0.864222568457948, 0.66384212466895, 0.545618544968376, 0.629960524947437, 0.5, 5717.5942113065
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.3, 60.875, 0.8, 0.00161087688835329, 0.000749054409981134, 610.490748158097, 419.45153346625, 526.934143344535, 365.25, 0.864169020695834, 0.864222568457948, 0.66384212466895, 0.545618544968376, 0.629960524947437, 0.5, 5717.5942113065
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00238590204813154, 0.00128230451789395, 386.978362307915, 254.553579862563, 263.472067665475, 182.625, 0.691821802449059, 0.693498335839203, 0.513361798720699, 0.3839442204898, 0.39685026299205, 0.25, 3860.31789494
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00238590204813154, 0.00128230451789395, 386.978362307915, 254.553579862563, 263.472067665475, 182.625, 0.691821802449059, 0.693498335839203, 0.513361798720699, 0.3839442204898, 0.39685026299205, 0.25, 3860.31789494
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00265935588063259, 0.00135841255289636, 352.775193167153, 234.638174661443, 263.471666752448, 182.625, 0.754034745453137, 0.754855474266372, 0.488354389896272, 0.353281352704386, 0.39685026299205, 0.25, 3463.37263058801
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00265935588063259, 0.00135841255289636, 352.775193167153, 234.638174661443, 263.471666752448, 182.625, 0.754034745453137, 0.754855474266372, 0.488354389896272, 0.353281352704386, 0.39685026299205, 0.25, 3463.37263058801
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00289975606744253, 0.00142105871140122, 328.035914866264, 220.232583750432, 263.47065016484, 182.625, 0.807642831933389, 0.80800181796449, 0.467377960213774, 0.328354220352583, 0.39685026299205, 0.25, 3176.24660756356
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00289975606744253, 0.00142105871140122, 328.035914866264, 220.232583750432, 263.47065016484, 182.625, 0.807642831933389, 0.80800181796449, 0.467377960213774, 0.328354220352583, 0.39685026299205, 0.25, 3176.24660756356
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00304043985678982, 0.00145607436099141, 315.367915132594, 212.858970128978, 263.469506239922, 182.625, 0.838586278885221, 0.838781114747946, 0.455522854488364, 0.314590671229297, 0.39685026299205, 0.25, 3029.27892206384
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.3, 60.875, 0.8, 0.00304043985678982, 0.00145607436099141, 315.367915132594, 212.858970128978, 263.469506239922, 182.625, 0.838586278885221, 0.838781114747946, 0.455522854488364, 0.314590671229297, 0.39685026299205, 0.25, 3029.27892206384
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 121.75, 0.8, 0.000484929862086496, 0, 2026.27181426975, 1392.30658010704, 1580.82351923417, 1095.75, 0.781857185917372, 0.782006348568304, 0.872793262323076, 0.822755032238301, 0.857243982853073, 0.7937005259841, 18993.1391982071
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 121.75, 0.8, 0.000484929862086496, 0, 2026.27181426975, 1392.30658010704, 1580.82351923417, 1095.75, 0.781857185917372, 0.782006348568304, 0.872793262323076, 0.822755032238301, 0.857243982853073, 0.7937005259841, 18993.1391982071
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 121.75, 0.8, 0.000510507538798147, 0, 1930.61553444839, 1328.64858687476, 1580.81561579395, 1095.75, 0.819958227285944, 0.820032956354078, 0.870079539983437, 0.817646703005415, 0.857243982853073, 0.7937005259841, 18041.5364553861
